time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-03-17T08:56:51.850Z,17.901,-66.8218,8,2.63,md,6,236,0.0937,0.1,pr,pr2020077010,2020-03-17T09:07:46.416Z,"Puerto Rico region",earthquake,0.94,1.59,0.34,3,reviewed,pr,pr
2020-03-17T08:14:02.480Z,17.9511,-66.7268,14,3.25,md,8,228,0.1515,0.18,pr,pr2020077008,2020-03-17T08:41:06.581Z,"Puerto Rico region",earthquake,1.17,1.35,0.23,5,reviewed,pr,pr
2020-03-17T08:10:26.860Z,17.9413,-66.832,12,2.62,md,6,220,0.0581,0.04,pr,pr2020077009,2020-03-17T08:43:16.512Z,"Puerto Rico region",earthquake,0.92,0.47,0.43,6,reviewed,pr,pr
2020-03-17T06:48:48.560Z,17.9015,-66.8788,15,3.07,md,8,235,0.0736,0.06,pr,pr2020077007,2020-03-17T14:51:15.672Z,"Puerto Rico region",earthquake,1.19,0.66,0.13,3,reviewed,pr,pr
2020-03-17T05:25:25.530Z,17.9106,-66.9011,7,2.89,md,6,232,0.0681,0.09,pr,pr2020077004,2020-03-17T05:56:53.229Z,"Puerto Rico region",earthquake,0.8,0.26,0.28,3,reviewed,pr,pr
2020-03-17T05:19:28.270Z,17.9176,-66.8333,10,2.54,md,6,229,0.0736,0.06,pr,pr2020077005,2020-03-17T05:56:32.133Z,"Puerto Rico region",earthquake,1.24,0.74,0.47,6,reviewed,pr,pr
2020-03-17T04:02:10.534Z,34.5558,85.8914,10,4.6,mb,,91,6.623,0.73,us,us60008gy3,2020-03-17T04:17:50.040Z,"western Xizang",earthquake,8.5,1.9,0.091,36,reviewed,us,us
2020-03-17T03:13:38.940Z,17.9256,-67.0298,7,2.8,ml,8,244,0.1136,0.05,pr,pr2020077002,2020-03-17T13:10:56.238Z,"Puerto Rico region",earthquake,0.78,0.3,0,0,reviewed,pr,pr
2020-03-17T02:45:57.810Z,17.894,-66.834,14,2.9,md,8,239,0.0928,0.19,pr,pr2020077003,2020-03-17T03:56:10.225Z,"Puerto Rico region",earthquake,1.73,1.01,0.34,5,reviewed,pr,pr
2020-03-17T02:19:06.550Z,17.8545,-66.8771,13,3.19,md,8,252,0.1206,0.07,pr,pr2020077001,2020-03-17T04:11:47.598Z,"Puerto Rico region",earthquake,1,0.44,0.25,4,reviewed,pr,pr
2020-03-17T01:31:29.130Z,17.9066,-67.0058,8,2.56,md,8,246,0.1439,0.05,pr,pr2020077000,2020-03-17T04:20:11.040Z,"Puerto Rico region",earthquake,0.63,0.78,0.19,5,reviewed,pr,pr
2020-03-17T00:52:56.700Z,39.0184,16.0397,34.32,4.2,mwr,,60,0.581,1.21,us,us60008gwk,2020-03-17T01:23:38.040Z,"southern Italy",earthquake,1.7,5.2,0.066,22,reviewed,us,us
2020-03-17T00:39:25.493Z,-20.1912,-69.238,93.39,4,mb,,70,0.093,0.89,us,us60008gwe,2020-03-17T01:13:02.613Z,"Tarapaca, Chile",earthquake,5.1,4.8,0.212,6,reviewed,us,us
2020-03-17T00:38:36.468Z,36.5698,70.957,208.92,4,mb,,74,2.097,0.76,us,us60008gwi,2020-03-17T04:32:49.101Z,"Hindu Kush region, Afghanistan",earthquake,6.6,15.2,0.232,5,reviewed,us,us
2020-03-16T23:38:13.120Z,17.9526,-66.911,14,2.5,md,5,214,0.039,0.1,pr,pr2020076030,2020-03-16T23:47:50.960Z,"Puerto Rico region",earthquake,1.43,0.6,0.1,2,reviewed,pr,pr
2020-03-16T21:56:22.610Z,18.9101,-67.3775,19,3.23,md,8,286,0.5354,0.45,pr,pr2020076028,2020-03-17T00:01:53.083Z,"Puerto Rico region",earthquake,6.69,13.61,0.23,3,reviewed,pr,pr
2020-03-16T21:13:25.046Z,42.4848,21.0793,10,3,ml,,119,1.346,0.45,us,us60008gu7,2020-03-17T06:03:44.793Z,"Kosovo",earthquake,7.1,2,0.085,18,reviewed,us,us
2020-03-16T21:05:51.770Z,17.8495,-66.8106,7,2.92,md,5,257,0.1431,0.11,pr,pr2020076027,2020-03-16T21:32:52.115Z,"Puerto Rico region",earthquake,1.13,0.58,0,1,reviewed,pr,pr
2020-03-16T20:22:47.170Z,17.8693,-66.839,13,2.7,md,8,246,0.1132,0.06,pr,pr2020076024,2020-03-16T23:59:49.483Z,"Puerto Rico region",earthquake,0.75,0.37,0.23,3,reviewed,pr,pr
2020-03-16T20:16:49.360Z,17.93,-66.8753,14,2.75,md,7,223,0.0453,0.07,pr,pr2020076025,2020-03-16T20:41:22.853Z,"Puerto Rico region",earthquake,0.96,0.56,0.16,2,reviewed,pr,pr
2020-03-16T20:08:03.740Z,17.9423,-66.9538,10,2.9,md,8,221,0.0815,0.1,pr,pr2020076023,2020-03-16T23:57:58.019Z,"Puerto Rico",earthquake,0.74,0.46,0.21,4,reviewed,pr,pr
2020-03-16T18:29:21.120Z,17.883,-66.987,9,2.51,md,7,251,0.1418,0.19,pr,pr2020076022,2020-03-16T20:12:46.582Z,"Puerto Rico region",earthquake,1.34,1,0.16,2,reviewed,pr,pr
2020-03-16T16:05:46.940Z,17.8823,-66.7378,5,2.71,md,8,218,0.1691,0.2,pr,pr2020076020,2020-03-16T16:45:27.040Z,"Puerto Rico region",earthquake,1.11,0.61,0.48,4,reviewed,pr,pr
2020-03-16T15:46:26.090Z,17.854,-66.8715,4,2.9,md,8,231,0.2827,0.3,pr,pr2020076019,2020-03-16T16:35:07.040Z,"Puerto Rico region",earthquake,1.7,1.03,0.27,6,reviewed,pr,pr
2020-03-16T14:45:24.153Z,36.4297,70.6765,121.57,4.3,mb,,84,2.086,0.53,us,us60008gj8,2020-03-16T15:17:00.040Z,"Hindu Kush region, Afghanistan",earthquake,8,12,0.169,10,reviewed,us,us
2020-03-16T14:22:42.910Z,17.9021,-66.8453,5,2.75,md,6,218,0.2774,0.28,pr,pr2020076017,2020-03-16T14:41:00.712Z,"Puerto Rico region",earthquake,1.74,1.26,0.19,4,reviewed,pr,pr
2020-03-16T12:43:00.612Z,2.8772,-84.2556,10,4.9,mb,,146,5.575,0.92,us,us60008ghy,2020-03-16T13:07:18.040Z,"off the coast of Central America",earthquake,9,1.9,0.028,392,reviewed,us,us
2020-03-16T12:26:24.410Z,17.8851,-66.8396,10,2.73,md,5,242,0.2816,0.12,pr,pr2020076016,2020-03-16T12:43:02.363Z,"Puerto Rico region",earthquake,0.86,1,0.26,4,reviewed,pr,pr
2020-03-16T12:09:35.730Z,18.0185,-66.7883,9,2.56,md,6,186,0.1837,0.33,pr,pr2020076014,2020-03-16T12:30:02.772Z,"Puerto Rico",earthquake,1.36,2.82,0.28,5,reviewed,pr,pr
2020-03-16T10:16:09.140Z,17.9708,-66.83,7,2.6,md,7,199,0.2351,0.19,pr,pr2020076012,2020-03-16T11:07:20.910Z,"Puerto Rico",earthquake,0.87,1.22,0.34,3,reviewed,pr,pr
2020-03-16T09:40:26.460Z,17.842,-66.8461,15,2.51,md,7,256,0.1371,0.08,pr,pr2020076010,2020-03-16T09:59:02.288Z,"Puerto Rico region",earthquake,1.22,0.83,0.34,3,reviewed,pr,pr
2020-03-16T09:14:18.390Z,17.9363,-66.825,8,2.63,md,6,222,0.2433,0.14,pr,pr2020076009,2020-03-16T09:34:28.570Z,"Puerto Rico region",earthquake,1.22,1.22,0.1,3,reviewed,pr,pr
2020-03-16T07:13:56.567Z,35.6367,44.2425,10,4.4,mb,,100,0.999,0.75,us,us60008gdm,2020-03-16T13:22:48.274Z,"Iraq",earthquake,4.9,1.9,0.088,37,reviewed,us,us
2020-03-16T06:09:12.680Z,17.9596,-66.8313,17,3.02,md,7,212,0.0503,0.09,pr,pr2020076006,2020-03-16T19:08:44.174Z,"Puerto Rico",earthquake,1.17,0.53,0.16,4,reviewed,pr,pr
2020-03-16T03:53:24.796Z,1.1944,-78.5939,10,4.9,mb,,134,0.961,0.99,us,us60008gaz,2020-03-17T00:20:53.013Z,"Colombia-Ecuador border region",earthquake,8.5,1.9,0.027,438,reviewed,us,us
2020-03-16T03:20:58.150Z,17.8983,-66.884,12,2.75,md,6,236,0.0769,0.08,pr,pr2020076003,2020-03-16T03:36:29.740Z,"Puerto Rico region",earthquake,1.06,0.63,0.08,2,reviewed,pr,pr
2020-03-16T03:02:40.350Z,17.8183,-66.8703,8,3.01,md,7,262,0.157,0.05,pr,pr2020076000,2020-03-16T03:12:48.954Z,"Puerto Rico region",earthquake,0.63,1.07,0.25,4,reviewed,pr,pr
2020-03-16T01:53:23.772Z,35.2452,27.0086,10,4.6,mb,,51,0.326,1.21,us,us60008g9t,2020-03-16T02:19:51.040Z,"Dodecanese Islands, Greece",earthquake,5.3,1.9,0.06,83,reviewed,us,us
2020-03-16T00:09:14.370Z,10.3587,-62.6053,34.33,4.7,mwr,,39,1.994,0.88,us,us60008g99,2020-03-16T21:33:48.140Z,"Gulf of Paria, Venezuela",earthquake,6.9,4.7,0.054,33,reviewed,us,us
